,Date,Cases
0,2020-01-21,1
1,2020-01-22,0
2,2020-01-23,1
3,2020-01-24,0
4,2020-01-25,3
5,2020-01-26,0
6,2020-01-27,0
7,2020-01-28,0
8,2020-01-29,0
9,2020-01-30,2
10,2020-01-31,1
11,2020-02-01,0
12,2020-02-02,3
13,2020-02-03,0
14,2020-02-04,0
15,2020-02-05,0
16,2020-02-06,0
17,2020-02-07,0
18,2020-02-08,0
19,2020-02-09,0
20,2020-02-10,1
21,2020-02-11,0
22,2020-02-12,1
23,2020-02-13,0
24,2020-02-14,0
25,2020-02-15,0
26,2020-02-16,0
27,2020-02-17,0
28,2020-02-18,0
29,2020-02-19,0
30,2020-02-20,2
31,2020-02-21,0
32,2020-02-22,0
33,2020-02-23,0
34,2020-02-24,0
35,2020-02-25,0
36,2020-02-26,1
37,2020-02-27,0
38,2020-02-28,8
39,2020-02-29,6
40,2020-03-01,23
41,2020-03-02,25
42,2020-03-03,20
43,2020-03-04,66
44,2020-03-05,47
45,2020-03-06,64
46,2020-03-07,147
47,2020-03-08,225
48,2020-03-09,290
49,2020-03-10,278
50,2020-03-11,414
51,2020-03-12,267
52,2020-03-13,338
53,2020-03-14,1237
54,2020-03-15,755
55,2020-03-16,2797
56,2020-03-17,3419
57,2020-03-18,4777
58,2020-03-19,3528
59,2020-03-20,5836
60,2020-03-21,8821
61,2020-03-22,10934
62,2020-03-23,10115
63,2020-03-24,13987
64,2020-03-25,16916
65,2020-03-26,17965
66,2020-03-27,19332
67,2020-03-28,18251
68,2020-03-29,22635
69,2020-03-30,22562
70,2020-03-31,27043
71,2020-04-01,26135
72,2020-04-02,34864
73,2020-04-03,30683
74,2020-04-04,26065
75,2020-04-05,43438
76,2020-04-06,21597
77,2020-04-07,31534
78,2020-04-08,31705
79,2020-04-09,33251
80,2020-04-10,33288
81,2020-04-11,29145
82,2020-04-12,24156
83,2020-04-13,26385
84,2020-04-14,27158
85,2020-04-15,29164
86,2020-04-16,29002
87,2020-04-17,29916
88,2020-04-18,25995
89,2020-04-19,29468
90,2020-04-20,2649
91,2020-04-21,25858
92,2020-04-22,37144
93,2020-04-23,29873
94,2020-04-24,33161
95,2020-04-25,29256
96,2020-04-26,23371
97,2020-04-27,23901
98,2020-04-28,25512
99,2020-04-29,31787
100,2020-04-30,30369
101,2020-05-01,29794
102,2020-05-02,29763
103,2020-05-03,19138
104,2020-05-04,22303
105,2020-05-05,23366
106,2020-05-06,30861
107,2020-05-07,25996
108,2020-05-08,2666
109,2020-05-09,23792
110,2020-05-10,18106
111,2020-05-11,21467
112,2020-05-12,20869
113,2020-05-13,27191
114,2020-05-14,22977
115,2020-05-15,31967
116,2020-05-16,13284
117,2020-05-17,24481
118,2020-05-18,23405
119,2020-05-19,2286
120,2020-05-20,20522
121,2020-05-21,24268
122,2020-05-22,26229
123,2020-05-23,15342
124,2020-05-24,24958
125,2020-05-25,16429
126,2020-05-26,1968
127,2020-05-27,21304
128,2020-05-28,18123
129,2020-05-29,23553
130,2020-05-30,26177
131,2020-05-31,1479
132,2020-06-01,24955
133,2020-06-02,14676
134,2020-06-03,20555
135,2020-06-04,29034
136,2020-06-05,29214
137,2020-06-06,17919
138,2020-06-07,17598
139,2020-06-08,17376
140,2020-06-09,20486
141,2020-06-10,21744
142,2020-06-11,22317
143,2020-06-12,25468
144,2020-06-13,21957
145,2020-06-14,18577
146,2020-06-15,28392
147,2020-06-16,22834
148,2020-06-17,27828
149,2020-06-18,32218
150,2020-06-19,32411
151,2020-06-20,27616
152,2020-06-21,26657
153,2020-06-22,34313
154,2020-06-23,37667
155,2020-06-24,40588
156,2020-06-25,44602
157,2020-06-26,44703
158,2020-06-27,4139
159,2020-06-28,35664
160,2020-06-29,43644
161,2020-06-30,54357
162,2020-07-01,5273
163,2020-07-02,57718
164,2020-07-03,52228
165,2020-07-04,44361
166,2020-07-05,46329
